"PartNumber","PartDescription","PartDetails","UOM","UPC","PartType","Active","ABCCode","Weight","WeightUOM","Width","Height","Length","SizeUOM","PrimaryTracking","AlertNote","PictureUrl","Tracks-Lot Number","Tracks-Revision Level","Tracks-Expiration Date","Tracks-Serial Number","CF-Custom1","CF-Custom2","CF-Custom3","CF-Custom4"
"RP-05471","SIP Resistor // 470 x 5  SIP Resistor - Common Terminal",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // 4606X-101-471",,,
"RP-09102","SIP Resistor // 1K x 9  SIP Resistor - Common Terminal",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // 0",,,
"RP-09103","SIP Resistor // 10K x 9  SIP Resistor - Common Terminal",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Xicon // 266-10K-RC",,,
"RP-09472","SIP Resistor // 4.7K x 9 SIP Resistor - Common Terminal",,"ea",,"Inventory","true","B","0","lbs","0","0","0","ft",,,,"false","false","false","false","BOURNS // 4610X-101-472LF",,,
"RP-10007","SIP Resistor // 500K ohm x 9 Common Terminal SIP",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","0 // 0",,,
"RP-80151","Resistor Network // 150 Ohm X 8 Resistor Network",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Bourns // 4116R-001-151",,,
"RA-00923","Resistor 5% // 5.6K ohm 5% 1/4 Watt Carbon Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // CFR-25JB-5K6",,,
"RA-00752","Resistor  5% // 7.5K ohm 5% 1/4 Watt Carbon Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // CFR-25JB-7K5",,,
"RA-00620","Resistor  5% // 62 ohm  5% 1/4 Watt Carbon Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // CFR-25JB-62R",,,
"RA-00513","Resistor  5% // 51K ohm, 5%, 1/4 watt carbon resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // CFR-25JB-51K",,,
"RA-50100","Resistor 5% 5W // Resistor 10 Ohm 5% 5W wire wound resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // SQP500JB-10R",,,
"RA-10202","Resistor 5% // 2K ohm 5% 1/2 Watt Carbon Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // ERD-S1TJ202V",,,
"RA-10027","Resistor 5% // 2.2K ohm 5% 1/2 Watt Carbon Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // ERD-S1TJ222V",,,
"RA-10016","Resistor 5% // 22 ohm 5% 1/2 Watt Carbon Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // CFR-50JB-22R",,,
"RA-50201","Resistor 5% 5W // Resistor 200 Ohm 5% 5W wire wound power re",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // SQP500JB-200R",,,
"RA-50151","Resistor 5% 5W // Resistor 150 Ohm 5% 5W wire wound power re",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // SQP500JB-150R",,,
